direction,speed_kmh,Ay_ms2,Ay_g,psi_dot_rads,SWA_deg,R_meas_m
left,20,0.5932064056396484,0.06046956224665121,0.10928608004003763,12.785065777854193,49.46
left,22,0.6926127734780312,0.07060272920265354,0.11524487234652042,12.545676820640184,51.8
left,24,0.8236567568778992,0.08396093342282356,0.1256837897002697,12.588340826483268,51.8
left,26,0.9659720760583878,0.09846810153500385,0.1361151272058487,12.631180659867082,51.81
left,28,1.1195938521623612,0.11412781367608166,0.14653909929096698,12.673986357544987,51.82
left,30,1.2846796506643294,0.13095613156619057,0.15697717562317848,12.711870161987461,51.83
left,32,1.4617457276582717,0.14900568069911027,0.16744345366954805,12.747249144311917,51.84
left,34,1.6500065207481385,0.16819638335862777,0.17789319396018982,12.81429614299865,51.85
left,36,1.8481289279460906,0.18839234739511626,0.18825907833874225,12.883359075405476,51.86
left,38,2.056299239397049,0.2096125626296686,0.19855142451822758,12.953940553555345,51.88
left,40,2.2751521933078767,0.2319217322434125,0.2088191132247448,13.027033728414226,51.9
left,42,2.504601950645447,0.2553111060800659,0.2190611482411623,13.102595837947968,51.92
left,44,2.744444478750229,0.2797598857033872,0.22927453599870204,13.180869373399599,51.94
left,46,2.9868239653110504,0.30446727475138124,0.23893123030662536,13.41253056860161,52.05
left,48,3.2364351463317873,0.3299118395852994,0.24847124956548214,13.697722949381491,52.15
left,50,3.454943916797638,0.35218592424033,0.25661233112216,13.950323885042158,52.2
left,52,3.721886086463928,0.3793971545834789,0.26615656301379204,14.253340896633103,52.27
left,54,4.002435991764068,0.40799551394129135,0.27580866605043414,14.567110040025192,52.35
left,56,4.291275265216828,0.4374388649558438,0.2853473320603371,14.884300189183737,52.44
left,58,4.589110867977142,0.46779927298441815,0.29484468072652814,15.207795874242889,52.52
left,60,4.894926040172577,0.4989730927800792,0.3043226955831051,15.538189043304506,52.59
left,62,5.209103112220764,0.5309992978818312,0.3137400895357132,15.873165589266646,52.66
left,64,5.530039489269257,0.5637145249000262,0.32300353556871414,16.209044431742026,52.74
left,66,5.857892274856567,0.5971347884665206,0.3321547609567642,16.546335637508616,52.83
left,68,6.191074221134186,0.6310982896161249,0.34112528398633,16.88058641781116,52.95
left,70,6.528696653842926,0.66551443973934,0.3498629084229469,17.21406039637026,53.08
left,72,6.869435017108917,0.7002482178500424,0.3583113113045692,17.547706121437145,53.25
left,74,7.2122870898246765,0.7351974607364603,0.36642314061522485,17.890294174704966,53.46
left,76,7.556961929798126,0.7703325106827855,0.3742131346464157,18.243650281202076,53.69
left,78,7.893330960273743,0.8046208929942653,0.38134261399507524,18.642475587738605,54.0
left,80,7.882025904655457,0.8034684918099344,0.374332145601511,20.800187169320097,55.95
left,82,7.855105829238892,0.8007243454881643,0.3672876477241516,22.87664014175727,57.92
right,20,-0.5930685725808144,-0.06045551198581186,-0.10928271263837815,-12.787091014896191,49.44
right,22,-0.6926506268978119,-0.07060658785910416,-0.11524414982646704,-12.54594410854761,51.8
right,24,-0.8236996686458588,-0.08396530771109671,-0.12568359669297935,-12.588625803019205,51.8
right,26,-0.9660211050510407,-0.09847309939358212,-0.13611493922770024,-12.63145634726136,51.81
right,28,-1.1196319723129273,-0.1141316995222148,-0.14653896689414977,-12.674267925785138,51.82
right,30,-1.2847056412696838,-0.13095878096530925,-0.1569770321249962,-12.712168942577762,51.83
right,32,-1.4617838704586028,-0.14900956885408795,-0.16744395025074482,-12.747508118450606,51.84
right,34,-1.650141944885254,-0.16821018806169763,-0.17789817593991755,-12.814591168856941,51.85
right,36,-1.8492600709199905,-0.18850765248929566,-0.18831671513617038,-12.884024704640327,51.86
right,38,-2.057716965675354,-0.20975708110859875,-0.19861879520118236,-12.954673709668167,51.88
right,40,-2.2767811250686645,-0.23208778033319719,-0.20889426253736018,-13.027838935012978,51.9
right,42,-2.506479606628418,-0.2555025083209396,-0.2191447475552559,-13.103485721118044,51.92
right,44,-2.7466089403629304,-0.27998052399214374,-0.22936438843607904,-13.182586990093107,51.94
right,46,-2.989427561759949,-0.3047326770397501,-0.2390283676236868,-13.420429753914853,52.05
right,48,-3.2400683879852297,-0.33028220061011515,-0.2486052153259516,-13.707154189652817,52.16
right,50,-3.500516117811203,-0.35683140854344575,-0.2582443916797638,-14.006734853385785,52.22
right,52,-3.724187539815903,-0.37963175737165167,-0.26626831009984014,-14.2630573960041,52.26
right,54,-4.002243260145187,-0.40797586749696096,-0.275798918902874,-14.572623556217039,52.35
right,56,-4.291206877231598,-0.4374318937035268,-0.28534343987703326,-14.890208273564376,52.44
right,58,-4.589419009685517,-0.46783068396386507,-0.29485337346792223,-15.21429866284419,52.52
right,60,-4.897800436019898,-0.4992660994923443,-0.30440847560763357,-15.547593436249576,52.59
right,62,-5.212515184879303,-0.5313471136472275,-0.31383966743946073,-15.883320308400194,52.66
right,64,-5.533891806602478,-0.5641072177984177,-0.323107034265995,-16.219731375263304,52.74
right,66,-5.862012116909027,-0.5975547519784941,-0.33226645305752756,-16.55735031359495,52.84
right,68,-6.195574209690094,-0.6315570040458811,-0.34123956128954885,-16.89237174713737,52.95
right,70,-6.533522360324859,-0.6660063568119122,-0.3499727301299572,-17.227475063181824,53.09
right,72,-6.874534151554108,-0.7007680072939967,-0.35841476291418073,-17.56305001183554,53.26
right,74,-7.21727917432785,-0.7357063378519725,-0.36648483246564867,-17.91370820138743,53.47
right,76,-7.562399537563324,-0.7708868030135906,-0.3742780387401581,-18.267644517806957,53.71
right,78,-7.885390672683716,-0.8038114854927335,-0.38079900488257407,-18.750033263393682,54.09
right,80,-7.869712915420532,-0.8022133450989329,-0.3736294601857662,-20.930159544964173,56.07
right,82,-7.842114281654358,-0.7994000287109437,-0.36652870938181875,-23.02566988361019,58.07
