t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,steer_input,direction,rep,ay_target,swa_calib_deg
428.0361519996077,1781612080.9619021,2.0876145362854004,0.007842104882001877,9.811603546142578,1.0152974937227555e-05,2.5558387278579175e-05,5.792962838313542e-05,0.0,0.0,0.0,left,1,2.0,7.092
428.04615199938416,1781612080.9734514,2.0893046855926514,-0.0008423502440564334,9.81159496307373,3.935081167583121e-06,2.5661884137662128e-05,6.291337922448292e-05,0.0,0.01,0.0,left,1,2.0,7.092
428.05615199916065,1781612080.9839673,2.0801923274993896,-0.0014742385828867555,9.811633110046387,-2.246701797048445e-06,2.6162268113694154e-05,6.786090671084821e-05,0.0,0.02,0.0,left,1,2.0,7.092
428.06615199893713,1781612080.9934726,2.0821220874786377,-0.0003629542770795524,9.811665534973145,-7.029842890915461e-06,2.6391497158329003e-05,7.288832421181723e-05,0.0,0.03,0.0,left,1,2.0,7.092
428.0761519987136,1781612081.0039835,2.0842995643615723,0.007426892872899771,9.811620712280273,1.4364473827299662e-05,2.639809827087447e-05,5.656866414938122e-05,0.0,0.04,0.0,left,1,2.0,7.092
428.0861519984901,1781612081.0143197,2.074230909347534,-0.0006181515054777265,9.81165599822998,6.4775590544741135e-06,2.6506986614549533e-05,6.157885218271986e-05,0.0,0.05,0.0,left,1,2.0,7.092
428.0961519982666,1781612081.024601,2.0768136978149414,-0.0015995160210877657,9.81161117553711,-1.301072984460916e-06,2.640051934577059e-05,6.653479795204476e-05,0.0,0.06,0.0,left,1,2.0,7.092
428.10615199804306,1781612081.035107,2.078840970993042,-0.0003228783025406301,9.811616897583008,-7.794221346557606e-06,2.6264682674081996e-05,7.152442412916571e-05,0.0,0.07,0.0,left,1,2.0,7.092
428.11615199781954,1781612081.0456154,2.069098949432373,0.007399017922580242,9.811631202697754,1.2146599146944936e-05,2.632995710882824e-05,5.533974035643041e-05,0.0,0.08,0.0,left,1,2.0,7.092
428.126151997596,1781612081.0561345,2.071000576019287,-0.0009841658174991608,9.811630249023438,3.3545190945005743e-06,2.633300937304739e-05,6.0322359786368906e-05,0.0,0.09,0.0,left,1,2.0,7.092
428.1361519973725,1781612081.066303,2.073852777481079,-0.0018510002410039306,9.811614036560059,-4.345101388025796e-06,2.6060506570502184e-05,6.529715028591454e-05,0.0,0.1,0.0,left,1,2.0,7.092
428.146151997149,1781612081.0766978,2.063293695449829,0.000346946093486622,9.81161117553711,-1.0253078471578192e-05,2.6069865270983428e-05,7.025994273135439e-05,0.0,0.11,0.0,left,1,2.0,7.092
428.1561519969255,1781612081.0872047,2.0655710697174072,0.007229332346469164,9.811598777770996,9.99234998744214e-06,2.5820274458965287e-05,5.4195312259253114e-05,0.0,0.12,0.0,left,1,2.0,7.092
428.16615199670196,1781612081.0975628,2.0682947635650635,-0.0014253156259655952,9.81157112121582,1.6530460698049865e-06,2.5710613044793718e-05,5.9183479606872424e-05,0.0,0.13,0.0,left,1,2.0,7.092
428.17615199647844,1781612081.108068,2.057933807373047,-0.00025618699146434665,9.81165885925293,-5.8279565564589575e-06,2.5569708668626845e-05,6.414568633772433e-05,0.0,0.14,0.0,left,1,2.0,7.092
428.1861519962549,1781612081.1182878,2.0609793663024902,-0.0017249375814571977,9.811735153198242,-1.155158861365635e-05,2.5589868528186344e-05,6.908240175107494e-05,0.0,0.15,0.0,left,1,2.0,7.092
428.1961519960314,1781612081.1289206,2.0616846084594727,0.008910761214792728,9.81162166595459,9.219475941790733e-06,2.530522397137247e-05,5.320759009919129e-05,0.0,0.16,0.0,left,1,2.0,7.092
428.2061519958079,1781612081.1394277,2.053530216217041,-0.002243595663458109,9.811619758605957,1.6483392073496361e-06,2.5299024855485186e-05,5.8137888117926195e-05,0.0,0.17,0.0,left,1,2.0,7.092
428.21615199558437,1781612081.1499603,2.054661512374878,-0.0002901832340285182,9.811565399169922,-5.00745591125451e-06,2.5161640223814175e-05,6.306039722403511e-05,0.0,0.18,0.0,left,1,2.0,7.092
428.22615199536085,1781612081.159452,2.0570435523986816,-0.0002269069227622822,9.811670303344727,-1.0364217814640142e-05,2.5209394152625464e-05,6.795738590881228e-05,0.0,0.19,0.0,left,1,2.0,7.092
428.23615199513733,1781612081.171086,2.0476837158203125,0.0062829675152897835,9.811650276184082,1.0375247256888542e-05,2.5471967092016712e-05,5.226778375799768e-05,0.0,0.2,0.0,left,1,2.0,7.092
428.2461519949138,1781612081.1821866,2.049611806869507,-0.0005200310260988772,9.811590194702148,3.294909902251675e-06,2.554782258812338e-05,5.719033651985228e-05,0.0,0.21,0.0,left,1,2.0,7.092
428.2561519946903,1781612081.192422,2.04748797416687,-0.0007989421719685197,9.811574935913086,-3.455810428931727e-06,2.5628060029703192e-05,6.215085159055889e-05,0.0,0.22,0.0,left,1,2.0,7.092
428.2661519944668,1781612081.202931,2.0516698360443115,-0.0017618986312299967,9.81161880493164,-8.892811820260249e-06,2.5778899725992233e-05,6.709973240504041e-05,0.0,0.23,0.0,left,1,2.0,7.092
428.27615199424326,1781612081.2141762,2.0383188724517822,0.008430791087448597,9.811601638793945,1.110448192775948e-05,2.5624342015362345e-05,5.1552644436014816e-05,0.0,0.24,0.0,left,1,2.0,7.092
428.28615199401975,1781612081.2244823,2.042916774749756,-0.0013284410815685987,9.811566352844238,3.2031250611908035e-06,2.557111110945698e-05,5.6499182392144576e-05,0.0,0.25,0.0,left,1,2.0,7.092
428.29615199379623,1781612081.2349975,2.0407919883728027,-0.0016022028867155313,9.811558723449707,-3.905237917933846e-06,2.5538738555042073e-05,6.139677861938253e-05,0.0,0.26,0.0,left,1,2.0,7.092
428.3061519935727,1781612081.2453027,2.043515205383301,0.00026673200773075223,9.811678886413574,-9.480061635258608e-06,2.558308005973231e-05,6.635978206759319e-05,0.0,0.27,0.0,left,1,2.0,7.092
428.3161519933492,1781612081.255462,2.032069206237793,0.0068434146232903,9.811606407165527,1.0533994100114796e-05,2.545583265600726e-05,5.0949962314916775e-05,0.0,0.28,0.0,left,1,2.0,7.092
428.3261519931257,1781612081.2659674,2.035104513168335,-0.0014888426521793008,9.811637878417969,2.5142542199318996e-06,2.5708543034852482e-05,5.5855893151601776e-05,0.0,0.29,0.0,left,1,2.0,7.092
428.33615199290216,1781612081.277017,2.033820390701294,-0.0006899411673657596,9.811591148376465,-4.353473741502967e-06,2.5682807972771116e-05,6.071704046917148e-05,0.0,0.3,0.0,left,1,2.0,7.092
428.34615199267864,1781612081.286523,2.03639817237854,-6.976323493290693e-05,9.81161117553711,-9.720177331473678e-06,2.5795461624511518e-05,6.55569601804018e-05,0.0,0.31,0.0,left,1,2.0,7.092
428.3561519924551,1781612081.2970304,2.0248920917510986,0.0066515193320810795,9.811553955078125,9.90817898127716e-06,2.5741785066202283e-05,5.0348917284281924e-05,0.0,0.32,0.0,left,1,2.0,7.092
428.3661519922316,1781612081.307098,2.0282182693481445,-0.0011404822580516338,9.811601638793945,1.949520083144307e-06,2.576691440481227e-05,5.522678475244902e-05,0.0,0.33,0.0,left,1,2.0,7.092
428.3761519920081,1781612081.3176022,2.026076078414917,-0.0008015797357074916,9.811565399169922,-4.527375949692214e-06,2.5550036298227496e-05,6.006020703352988e-05,0.0,0.34,0.0,left,1,2.0,7.092
428.3861519917846,1781612081.3281226,2.0300498008728027,-0.0009857898112386465,9.811626434326172,-1.0070095413539093e-05,2.564361238910351e-05,6.489021325251088e-05,0.0,0.35000000000000003,0.0,left,1,2.0,7.092
428.39615199156106,1781612081.3382697,2.0173072814941406,0.007320543751120567,9.81166934967041,9.604697879694868e-06,2.5696215743664652e-05,4.975673073204234e-05,0.0,0.36,0.0,left,1,2.0,7.092
428.40615199133754,1781612081.3483233,2.0207293033599854,-0.0008621236775070429,9.811619758605957,2.5149502107524313e-06,2.5476732844254002e-05,5.4614927648799494e-05,0.0,0.37,0.0,left,1,2.0,7.092
428.416151991114,1781612081.3589783,2.019645929336548,-0.0012064536567777395,9.811628341674805,-4.068047019245569e-06,2.5401504899491556e-05,5.9450496337376535e-05,0.0,0.38,0.0,left,1,2.0,7.092
428.4261519908905,1781612081.3690705,2.0221986770629883,-0.00010754769027698785,9.811635971069336,-9.19296780921286e-06,2.5442770493100397e-05,6.426901381928474e-05,0.0,0.39,0.0,left,1,2.0,7.092
428.436151990667,1781612081.3795917,2.0106887817382812,0.006625862792134285,9.811594009399414,1.0421874321764335e-05,2.5227745936717838e-05,4.930988870910369e-05,0.0,0.4,0.0,left,1,2.0,7.092
428.44615199044347,1781612081.3900998,2.0139145851135254,-0.001063393079675734,9.811537742614746,3.185136847605463e-06,2.516818858566694e-05,5.412377504399046e-05,0.0,0.41000000000000003,0.0,left,1,2.0,7.092
