direction,speed_kmh,Ay_ms2,Ay_g,psi_dot_rads,SWA_deg,R_meas_m
left,20,0.051128313578665256,0.005211856633910831,0.00872309175785631,3.3674011035923352,
left,22,0.06188039435073733,0.006307889332389126,0.009593316772952675,3.3674011035923352,
left,24,0.8726273062825203,0.08895283448343733,0.12914814472198485,11.869949493917106,50.21
left,26,0.9998468518257141,0.10192118774981794,0.13627333171665668,11.764920327464298,51.62
left,28,1.1602738666534425,0.1182746041440818,0.14681677564978599,11.818003730450688,51.64
left,30,1.3318934804201126,0.13576895824873725,0.15734493173658848,11.87333860278822,51.64
left,32,1.513887638449669,0.15432086018854932,0.16774642400443554,11.92570709818876,51.66
left,34,1.7067873984575272,0.1739844442872097,0.17810805164277554,11.978629569022,51.68
left,36,1.9114831072092056,0.19485046964415959,0.18850087568163873,12.032627122967664,51.68
left,38,2.1277264750003813,0.21689362640166984,0.19889749601483345,12.0863688974943,51.69
left,40,2.354720400571823,0.24003266060874853,0.2092276858538389,12.174463030657467,51.7
left,42,2.592485426664352,0.2642696663266414,0.2194987202435732,12.264594448442772,51.73
left,44,2.8418354868888853,0.289687613342394,0.22979328095912932,12.359100928503427,51.75
left,46,3.1020690405368807,0.31621498884168,0.24005142159759998,12.456270414997611,51.77
left,48,3.373615950345993,0.3438956116560645,0.2503132290393114,12.557133456272204,51.79
left,50,3.6559862446784974,0.37267953564510675,0.2605462382733822,12.660822031874536,51.81
left,52,3.949337252378464,0.4025827984075906,0.2707663045823574,12.76769813131954,51.82
left,54,4.253101522922516,0.43354755585346744,0.2809362907707691,12.876843216300463,51.85
left,56,4.567583358287811,0.4656048275522743,0.2910966789722443,12.98929564937203,51.87
left,58,4.89231852054596,0.49870729057553104,0.301216908544302,13.104265807531023,51.89
left,60,5.210101673603058,0.5311010880329314,0.31054219603538513,13.346306020576879,52.0
left,62,5.471364347934723,0.5577333688006854,0.3176324635744095,13.83966285031269,52.18
left,64,5.833782584667206,0.594677123819287,0.32745597898960116,14.186540237042328,52.22
left,66,6.199985914230346,0.6320067190856622,0.3369946098327637,14.529797141007139,52.28
left,68,6.574168117046356,0.6701496551525337,0.34641635671257975,14.87502915097091,52.36
left,70,6.957677426338196,0.7092433665992045,0.3558017037808895,15.22466719045146,52.43
left,72,7.35064519405365,0.7493012430227981,0.36516433373093604,15.579066669548125,52.5
left,74,7.752603323459625,0.7902755681406345,0.3744855685532093,15.937480873559275,52.57
left,76,7.802774159908295,0.7953898226206213,0.36861809641122817,18.903094338112588,54.68
left,78,7.366772894859314,0.7509452492211329,0.3452701961994171,24.863715859383465,58.86
left,80,7.236781396865845,0.7376943319944795,0.33411417320370673,28.23104959449976,61.81
left,82,7.0305380582809445,0.7166705462060086,0.32053338184952734,32.222273182779475,65.31
left,84,7.039385375976562,0.7175724134532683,0.3211240005493164,32.05523474952827,65.16
left,86,7.0396699666976925,0.7176014237204579,0.321137735247612,32.05156511019604,65.16
right,20,-0.04619125314056873,-0.0047085884954708185,-0.00874454249162227,-3.3674011035923352,
right,22,-0.05688419848680496,-0.0057985931179209945,-0.009611314688809216,-3.3674011035923352,
right,24,-0.8684676906466484,-0.08852881657967873,-0.12920977860689165,-11.868727041753104,50.2
right,26,-0.995799563229084,-0.10150862010490153,-0.13633486732840538,-11.763607974703596,51.62
right,28,-1.1557769519090653,-0.11781620304883438,-0.14684379480779172,-11.816503081917688,51.64
right,30,-1.3270918834209442,-0.1352794988196681,-0.15733403854072095,-11.870691221676722,51.64
right,32,-1.5087757122516632,-0.1537997667942572,-0.16772871054708957,-11.923838620900865,51.66
right,34,-1.7016216027736664,-0.1734578596099558,-0.17808545574545862,-11.976461953640419,51.68
right,36,-1.9063132536411285,-0.1943234713191772,-0.18847793020308018,-12.030750866620538,51.68
right,38,-2.122444349527359,-0.21635518343805898,-0.1988646724820137,-12.084321788837569,51.69
right,40,-2.349502980709076,-0.23950081352793842,-0.20919997282326222,-12.172599505867174,51.7
right,42,-2.5872828435897826,-0.26373933166052826,-0.2194708676636219,-12.262763636217636,51.73
right,44,-2.8366501235961916,-0.28915903400572796,-0.22976505070924758,-12.357207917245324,51.75
right,46,-3.0968609857559204,-0.3156840964073313,-0.24002094328403473,-12.45435172934963,51.77
right,48,-3.368360104560852,-0.3433598475597199,-0.2502799982577562,-12.555164742630469,51.79
right,50,-3.650675164461136,-0.3721381411275368,-0.26051012828946113,-12.658811372220198,51.81
right,52,-3.9439846074581144,-0.40203716691723895,-0.27072691947221755,-12.765642867686205,51.82
right,54,-4.2474395728111265,-0.4329703947819701,-0.2808865110576153,-12.874672085913424,51.85
right,56,-4.561679246425629,-0.46500298128701617,-0.29103841215372084,-12.987011025234029,51.87
right,58,-4.881178784370422,-0.4975717415260369,-0.30099906891584394,-13.100138728462348,51.89
right,60,-5.155487196445465,-0.5255338630423512,-0.3092967472970486,-13.196726769610564,51.9
right,62,-5.467595117092133,-0.5573491454732041,-0.31779507666826246,-13.824170078485572,52.16
right,64,-5.821125276088715,-0.593386878296505,-0.3274635289609432,-14.15889805408306,52.21
right,66,-6.187335567474365,-0.6307171832287833,-0.33700105279684067,-14.502578321757037,52.28
right,68,-6.561384947299957,-0.6688465797451536,-0.34641421124339106,-14.847967386396254,52.35
right,70,-6.944778032302857,-0.7079284436598222,-0.3557924370467663,-15.1978056115764,52.43
right,72,-7.337658538818359,-0.7479774249559998,-0.3651507520675659,-15.5524347219751,52.5
right,74,-7.739609673023224,-0.7889510370054253,-0.37447091162204743,-15.911189361225924,52.56
right,76,-7.770425906181336,-0.7920923451764867,-0.36781975969672204,-19.018601762172445,54.78
right,78,-7.353404991626739,-0.749582567953796,-0.3452985395491123,-24.84181604092055,58.84
right,80,-7.226411836147308,-0.7366372921658826,-0.33426297426223756,-28.184149587790504,61.77
right,82,-7.028158690929413,-0.7164280011141093,-0.3210523164272308,-32.081787990519686,65.19
right,84,-7.036849951744079,-0.7173139604224341,-0.3216386714577675,-31.915754758707664,65.04
right,86,-7.036993725299835,-0.7173286162385153,-0.3216459758579731,-31.91337488254335,65.04
